ID,Task_Type,Additional_Info,Query,Owner,SingleAspect,Correctness,Completeness,Relevance,Action Efficiency,Reasons
NocNoc--0,Best-Deal,cheap,Find the top 3 cheapest cooking pans by sorting the results from price low to high Answer the first 3 results after sorting.,YG,0,0,0,0,0,ติดหน้า I'm not a robot
NocNoc--1,Best-Deal,cheap,What's the most affordable air purifier? sort the results from price low to high.,YG,0,0,0,1,1,Sort ถูก action น้อย แต่หน้าสุดท้ายเอาไส้กรองมาแทนเครื่องฟอก
NocNoc--2,Best-Deal,cheap,Find the most budget-friendly projectors and sort the results by price low to high.,YG,0,0,0,1,1,Sort ถูก action น้อย แต่หน้าสุดท้ายเอาเทปมา ราคาน้อยสุด ซึ่งไม่ถูก
NocNoc--3,Best-Deal,new,Show me the latest robot vacuums and sort the results by new arrivals.,YG,1,1,0,0,0,สินค้าถูก แต่ขึ้นสินค้าแนะนำแทนสินค้าล่าสุด
NocNoc--4,Best-Deal,new,Find the newest hair dryers and sort the results by new arrivals.,Perm,,,,,,
NocNoc--5,Best-Deal,new,Find me the newest Sony headphones and sort the results by new arrivals.,Perm,,,,,,
NocNoc--6,Best-Deal,safe,Search for the Dyson vacuum from the store with the highest number of sales by sorting from best selling (high to low).,Perm,,,,,,
NocNoc--7,Best-Deal,safe,Find the highest-rated store that sells Garmin Forerunner Pink (smartwatches) Answer the store name and the product name after searching,Perm,,,,,,
NocNoc--8,Best-Deal,safe,Find Samsung Smart TV from the store with the highest number of sales by sorting from best selling (high to low).,BazMhee,,,,,,
NocNoc--9,Best-Deal,newcheap,Find the newest and cheapest Samsung smartwatches.,BazMhee,,,,,,
NocNoc--10,Best-Deal,newcheap,Find the newest and cheapest Logitech mouses.,BazMhee,,,,,,
NocNoc--11,Best-Deal,cheapsafe,Find the cheapest soundbar with over 50 units sold.,BazMhee,,,,,,
NocNoc--12,Best-Deal,cheapsafe,Find the cheapest projectors with over 20 units sold.,Baz,,,,,,
NocNoc--13,Best-Deal,newsafe,Find the latest Smart TV with over 20 units sold.,Baz,,,,,,
NocNoc--14,Best-Deal,newsafe,Find the Newest air conditioners with over 10 units sold.,Baz,,,,,,
